"","name","scientificName","genus","species","decimalLongitude","decimalLatitude","country"
"114","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"115","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"116","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"117","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"118","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.33333,-24.38333,"South Africa"
"119","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.1,-24.06667,"South Africa"
"120","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.46667,-26.45,"Swaziland"
"121","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.39785,-23.52011,"South Africa"
"122","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",28.16667,-25.9,"South Africa"
"123","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"124","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",36.04477,-4.07797,"Tanzania, United Republic of"
"125","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",24.01667,-30.66667,"South Africa"
"126","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",14.387,-19.63433,"Namibia"
"127","Psammobates oculifer","Psammobates oculiferus King, 1989","Psammobates","Psammobates oculifer",NA,NA,"South Africa"
"128","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"129","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",NA,NA,"South Africa"
"130","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,"South Africa"
"131","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",35.20612,-1.09286,"Kenya"
"132","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",26.88333,-33.6,"South Africa"
"133","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",25.68333,-33.55,"South Africa"
"134","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",20.55,-31.33333,"South Africa"
"135","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"136","Psammobates oculifer","Psammobates oculifer Kuhl, 1820","Psammobates","Psammobates oculifer",NA,NA,"South Africa"
"137","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",18.3609,-27.74067,"Namibia"
"138","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",NA,NA,"South Africa"
"139","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"140","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"141","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"142","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"143","Psammobates pardalis","Stigmochelys pardalis Valverde, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"144","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"145","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.46667,-24.63333,"South Africa"
"146","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",17.75,-29.243,"South Africa"
"147","Psammobates tentorius","Psammobates tentorius Bell, 1828","Psammobates","Psammobates tentorius",17.75,-29.243,"South Africa"
"148","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",NA,NA,NA
"149","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",30.93333,-25.51667,"South Africa"
"150","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",32.03333,-27.6,"South Africa"
"151","Psammobates pardalis","Geochelone pardalis Vinke, 2005","Psammobates","Psammobates pardalis",31.35,-24.7,"South Africa"
